;----------------------------------------------------------------
; 需要在游玩过程中 变动的 纯数值 属性放这里 - Base.csv
;
; 主要作用是控制范围，所以定义类型的属性统统丢进cflag去！
;----------------------------------------------------------------

;-------------------------------------------------
; 会以进度槽表现的属性
;-------------------------------------------------

0,体力
1,精力
2,女性快感
3,男性快感
4,母乳
5,尿意

;-------------------------------------------------
; 养马部分的属性
;-------------------------------------------------

10,速度
11,耐力
12,力量
13,根性
14,智力
15,PT

