;----------------------------------------------------------------
; Chara0000 - 玩家.csv
;----------------------------------------------------------------

番号,0
名前,训练员
呼び名,训练员

;----------------------------------------------------------------
; 数值类属性 初始上限 - Base.csv
;----------------------------------------------------------------

基礎,体力,1000
基礎,精力,1000

;----------------------------------------------------------------
; 角色Flag（INT） - CFlag.csv
;----------------------------------------------------------------

フラグ,性别,1  ; 0=女性 1=男性 10=扶她
フラグ,罩杯尺寸,-1 ; -1=无 0=AA 1=A 2=B 3=C 4=D 5=E 6=F 7=G
フラグ,阴茎尺寸,3  ; 0=无 1=极短 2=短小 3=标准 4=傲人 5=马
