角色编号,17
姓名,鲁铎象征
默认称呼,鲁铎象征
基础属性,体力,1000
基础属性,精力,1000
基础属性,速度,1200
基础属性,耐力,1200
基础属性,力量,1200
基础属性,根性,1200
基础属性,智力,1200
角色Flag,性别,0
角色Flag,罩杯尺寸,4
角色Flag,阴茎尺寸,0
角色Flag,身高,165
角色Flag,胸围,86
角色Flag,腰围,59
角色Flag,臀围,85
角色Flag,肤色深度,0
角色Flag,初始速度,106
角色Flag,初始耐力,111
角色Flag,初始力量,101
角色Flag,初始根性,118
角色Flag,初始智力,114
角色Flag,速度加成,0
角色Flag,耐力加成,20
角色Flag,力量加成,0
角色Flag,根性加成,10
角色Flag,智力加成,0
角色Flag,草地适性,6
角色Flag,泥地适性,0
角色Flag,短距离适性,2
角色Flag,英里赛适性,4
角色Flag,中距离适性,6
角色Flag,长距离适性,6
角色Flag,逃马适性,5
角色Flag,先马适性,6
角色Flag,差马适性,6
角色Flag,追马适性,4
角色Flag,气性,0
角色Flag,成长阶段,2
角色Flag,父方角色,-1
角色Flag,母方角色,-1
角色Flag,出生月份,3
角色Flag,出生日期,13
角色Flag,流星大小,-3
角色Flag,随机招募,0
角色Str,毛色,鹿
角色Str,流星形状,未知
