;----------------------------------------------------------------
; 经验 - Exp.csv
;----------------------------------------------------------------

;----------------------------------------------------------------
; 养马相关经验
;----------------------------------------------------------------

10,速度训练经验
11,耐力训练经验
12,力量训练经验
13,根性训练经验
14,智力训练经验

20,草地经验
21,泥地经验

30,短距离经验
31,英里赛经验
32,中距离经验
33,长距离经验

40,逃马经验
41,先马经验
42,差马经验
43,追马经验

;----------------------------------------------------------------
; 寝室相关经验
;----------------------------------------------------------------
100,亲吻经验

110,手交经验
111,腋交经验
112,足交经验

120,素股经验
121,性交经验
122,肛交经验

130,受虐经验
131,施虐经验

140,扶她经验

;----------------------------------------------------------------
; 生活相关经验
;----------------------------------------------------------------
200,妊娠经验
201,出产经验
